frame,time_s,left_elbow,right_elbow,left_shoulder,right_shoulder,left_hip,right_hip,left_knee,right_knee,torso_lean_deg,mean_visibility
0,0.0,165.0,135.5,48.9,43.7,147.1,138.2,158.3,117.6,22.9,0.837
1,0.02,133.8,131.0,21.0,45.7,152.9,142.0,159.0,112.2,17.1,0.823
2,0.04,130.5,130.4,41.1,47.7,159.0,144.6,161.8,109.8,12.6,0.81
3,0.06,127.2,137.0,37.8,45.8,160.6,153.7,163.9,114.4,12.6,0.799
4,0.08,130.8,135.8,40.0,45.5,162.1,159.3,166.9,118.4,12.2,0.799
5,0.1,154.6,134.0,77.2,44.0,163.5,164.6,167.8,125.8,11.6,0.803
6,0.119,159.4,132.2,81.6,44.6,165.2,166.2,168.1,126.7,10.5,0.806
7,0.139,124.1,128.4,59.7,45.4,164.7,165.4,168.1,126.1,10.8,0.802
8,0.159,142.9,132.4,26.6,45.5,163.8,167.1,168.8,127.9,12.5,0.799
9,0.179,144.7,122.5,15.4,45.4,165.3,168.3,169.0,127.4,13.4,0.797
10,0.199,142.2,122.4,66.1,45.3,168.7,172.8,170.4,132.1,10.9,0.807
11,0.219,151.8,129.7,16.8,45.0,169.0,171.9,170.3,130.8,11.6,0.805
12,0.239,137.1,124.7,15.0,45.8,169.0,171.2,170.8,130.0,11.8,0.802
13,0.259,147.7,123.7,73.0,47.5,171.4,173.1,169.8,134.9,9.9,0.81
14,0.279,149.2,122.2,56.7,49.3,172.2,174.8,168.5,140.0,8.7,0.81
15,0.299,159.7,124.0,83.9,52.3,170.6,175.8,166.7,143.9,8.5,0.818
16,0.319,152.9,124.3,76.6,52.9,170.9,176.3,165.3,147.7,7.2,0.82
17,0.339,157.0,120.5,82.6,55.3,168.0,177.1,161.7,150.5,7.1,0.823
18,0.358,158.9,122.4,83.3,56.7,164.1,176.3,158.0,151.7,7.4,0.826
19,0.378,163.8,125.6,88.0,57.0,163.6,176.8,158.4,154.5,7.5,0.831
