frame,time_s,img_w,img_h,nose_nx,nose_ny,nose_px,nose_py,nose_vis,left_eye_inner_nx,left_eye_inner_ny,left_eye_inner_px,left_eye_inner_py,left_eye_inner_vis,left_eye_nx,left_eye_ny,left_eye_px,left_eye_py,left_eye_vis,left_eye_outer_nx,left_eye_outer_ny,left_eye_outer_px,left_eye_outer_py,left_eye_outer_vis,right_eye_inner_nx,right_eye_inner_ny,right_eye_inner_px,right_eye_inner_py,right_eye_inner_vis,right_eye_nx,right_eye_ny,right_eye_px,right_eye_py,right_eye_vis,right_eye_outer_nx,right_eye_outer_ny,right_eye_outer_px,right_eye_outer_py,right_eye_outer_vis,left_ear_nx,left_ear_ny,left_ear_px,left_ear_py,left_ear_vis,right_ear_nx,right_ear_ny,right_ear_px,right_ear_py,right_ear_vis,mouth_left_nx,mouth_left_ny,mouth_left_px,mouth_left_py,mouth_left_vis,mouth_right_nx,mouth_right_ny,mouth_right_px,mouth_right_py,mouth_right_vis,left_shoulder_nx,left_shoulder_ny,left_shoulder_px,left_shoulder_py,left_shoulder_vis,right_shoulder_nx,right_shoulder_ny,right_shoulder_px,right_shoulder_py,right_shoulder_vis,left_elbow_nx,left_elbow_ny,left_elbow_px,left_elbow_py,left_elbow_vis,right_elbow_nx,right_elbow_ny,right_elbow_px,right_elbow_py,right_elbow_vis,left_wrist_nx,left_wrist_ny,left_wrist_px,left_wrist_py,left_wrist_vis,right_wrist_nx,right_wrist_ny,right_wrist_px,right_wrist_py,right_wrist_vis,left_pinky_nx,left_pinky_ny,left_pinky_px,left_pinky_py,left_pinky_vis,right_pinky_nx,right_pinky_ny,right_pinky_px,right_pinky_py,right_pinky_vis,left_index_nx,left_index_ny,left_index_px,left_index_py,left_index_vis,right_index_nx,right_index_ny,right_index_px,right_index_py,right_index_vis,left_thumb_nx,left_thumb_ny,left_thumb_px,left_thumb_py,left_thumb_vis,right_thumb_nx,right_thumb_ny,right_thumb_px,right_thumb_py,right_thumb_vis,left_hip_nx,left_hip_ny,left_hip_px,left_hip_py,left_hip_vis,right_hip_nx,right_hip_ny,right_hip_px,right_hip_py,right_hip_vis,left_knee_nx,left_knee_ny,left_knee_px,left_knee_py,left_knee_vis,right_knee_nx,right_knee_ny,right_knee_px,right_knee_py,right_knee_vis,left_ankle_nx,left_ankle_ny,left_ankle_px,left_ankle_py,left_ankle_vis,right_ankle_nx,right_ankle_ny,right_ankle_px,right_ankle_py,right_ankle_vis,left_heel_nx,left_heel_ny,left_heel_px,left_heel_py,left_heel_vis,right_heel_nx,right_heel_ny,right_heel_px,right_heel_py,right_heel_vis,left_foot_index_nx,left_foot_index_ny,left_foot_index_px,left_foot_index_py,left_foot_index_vis,right_foot_index_nx,right_foot_index_ny,right_foot_index_px,right_foot_index_py,right_foot_index_vis
0,0.0,960,1707,0.40331,0.59252,387.2,1011.4,0.998,0.40064,0.5863,384.6,1000.8,0.996,0.39794,0.58553,382.0,999.5,0.995,0.39524,0.58451,379.4,997.8,0.996,0.40657,0.58687,390.3,1001.8,0.998,0.40795,0.5865,391.6,1001.1,0.999,0.40958,0.58586,393.2,1000.1,0.999,0.38057,0.58384,365.3,996.6,0.997,0.40131,0.58444,385.3,997.6,0.998,0.39195,0.59662,376.3,1018.4,0.988,0.39907,0.59685,383.1,1018.8,0.992,0.33149,0.60756,318.2,1037.1,1.0,0.42051,0.60243,403.7,1028.4,1.0,0.39945,0.64126,383.5,1094.6,0.092,0.48282,0.63707,463.5,1087.5,0.99,0.43936,0.69178,421.8,1180.9,0.088,0.57517,0.65571,552.2,1119.3,0.995,0.44583,0.69268,428.0,1182.4,0.106,0.60009,0.65944,576.1,1125.7,0.992,0.46098,0.69349,442.5,1183.8,0.102,0.59655,0.65365,572.7,1115.8,0.991,0.46396,0.69375,445.4,1184.2,0.097,0.59041,0.65164,566.8,1112.3,0.981,0.30943,0.73544,297.1,1255.4,1.0,0.36526,0.73738,350.7,1258.7,1.0,0.37028,0.82983,355.5,1416.5,0.645,0.44531,0.8343,427.5,1424.1,0.993,0.34188,0.92304,328.2,1575.6,0.871,0.32961,0.91978,316.4,1570.1,0.991,0.31588,0.93846,303.2,1602.0,0.946,0.29068,0.92847,279.1,1584.9,0.985,0.38559,0.95852,370.2,1636.2,0.839,0.36657,0.96938,351.9,1654.7,0.966
1,0.02,960,1707,0.40055,0.5922,384.5,1010.9,0.993,0.39683,0.58537,381.0,999.2,0.985,0.39374,0.58434,378.0,997.5,0.983,0.39082,0.58321,375.2,995.5,0.986,0.40174,0.58607,385.7,1000.4,0.992,0.40219,0.58556,386.1,999.6,0.995,0.40295,0.58483,386.8,998.3,0.996,0.37294,0.58243,358.0,994.2,0.988,0.39214,0.58346,376.5,996.0,0.991,0.38947,0.59649,373.9,1018.2,0.961,0.39591,0.59663,380.1,1018.4,0.972,0.30386,0.6102,291.7,1041.6,1.0,0.41138,0.60242,394.9,1028.3,1.0,0.29902,0.67362,287.1,1149.9,0.083,0.49086,0.64167,471.2,1095.3,0.988,0.34216,0.70083,328.5,1196.3,0.079,0.58031,0.65508,557.1,1118.2,0.989,0.34344,0.70251,329.7,1199.2,0.095,0.60598,0.6584,581.7,1123.9,0.985,0.36005,0.70094,345.6,1196.5,0.092,0.60264,0.65177,578.5,1112.6,0.984,0.36619,0.6996,351.5,1194.2,0.087,0.59336,0.65051,569.6,1110.4,0.966,0.31358,0.74036,301.0,1263.8,1.0,0.37074,0.73971,355.9,1262.7,1.0,0.37005,0.83256,355.3,1421.2,0.585,0.44536,0.83444,427.6,1424.4,0.979,0.34203,0.92993,328.4,1587.4,0.811,0.32586,0.91935,312.8,1569.3,0.98,0.32186,0.94975,309.0,1621.2,0.918,0.28508,0.92716,273.7,1582.7,0.973,0.38718,0.96454,371.7,1646.5,0.778,0.3623,0.96641,347.8,1649.7,0.939
2,0.04,960,1707,0.40108,0.59294,385.0,1012.1,0.991,0.39815,0.58578,382.2,999.9,0.982,0.39517,0.58467,379.4,998.0,0.979,0.39211,0.58348,376.4,996.0,0.984,0.40237,0.5863,386.3,1000.8,0.991,0.40245,0.5857,386.4,999.8,0.994,0.40318,0.5849,387.0,998.4,0.996,0.37369,0.58245,358.7,994.2,0.986,0.39273,0.5835,377.0,996.0,0.99,0.39079,0.59723,375.2,1019.5,0.95,0.3966,0.59721,380.7,1019.4,0.965,0.29649,0.61193,284.6,1044.6,1.0,0.41211,0.60332,395.6,1029.9,1.0,0.29262,0.6713,280.9,1145.9,0.075,0.49382,0.64378,474.1,1098.9,0.985,0.34318,0.69128,329.5,1180.0,0.071,0.58478,0.65495,561.4,1118.0,0.978,0.3476,0.69094,333.7,1179.4,0.086,0.61349,0.65748,588.9,1122.3,0.97,0.36381,0.68891,349.3,1176.0,0.083,0.60844,0.65038,584.1,1110.2,0.968,0.36946,0.68779,354.7,1174.1,0.079,0.59815,0.64956,574.2,1108.8,0.937,0.31698,0.74448,304.3,1270.8,1.0,0.37563,0.74323,360.6,1268.7,1.0,0.36825,0.83664,353.5,1428.1,0.532,0.44329,0.83532,425.6,1425.9,0.964,0.34222,0.93885,328.5,1602.6,0.756,0.3161,0.91934,303.5,1569.3,0.966,0.32575,0.96077,312.7,1640.0,0.895,0.27919,0.92718,268.0,1582.7,0.956,0.38717,0.96839,371.7,1653.0,0.723,0.35826,0.96635,343.9,1649.6,0.911
3,0.06,960,1707,0.40481,0.59471,388.6,1015.2,0.988,0.4021,0.58648,386.0,1001.1,0.974,0.3989,0.58535,382.9,999.2,0.97,0.39568,0.5842,379.9,997.2,0.978,0.40598,0.58666,389.7,1001.4,0.987,0.40568,0.5859,389.5,1000.1,0.991,0.40579,0.585,389.6,998.6,0.994,0.37697,0.58247,361.9,994.3,0.981,0.39371,0.58345,378.0,995.9,0.985,0.39488,0.59856,379.1,1021.7,0.93,0.40006,0.59838,384.1,1021.4,0.951,0.29442,0.61253,282.6,1045.6,1.0,0.40682,0.60247,390.5,1028.4,1.0,0.28862,0.67209,277.1,1147.3,0.068,0.49306,0.64365,473.3,1098.7,0.983,0.33039,0.70055,317.2,1195.8,0.064,0.58413,0.65498,560.8,1118.1,0.965,0.33228,0.70161,319.0,1197.6,0.077,0.61239,0.65669,587.9,1121.0,0.954,0.34881,0.69953,334.9,1194.1,0.075,0.60751,0.65,583.2,1109.5,0.951,0.35527,0.69734,341.1,1190.4,0.071,0.598,0.64959,574.1,1108.8,0.908,0.3206,0.74438,307.8,1270.7,1.0,0.38057,0.74299,365.3,1268.3,1.0,0.36825,0.83824,353.5,1430.9,0.485,0.43895,0.83758,421.4,1429.7,0.957,0.34655,0.94249,332.7,1608.8,0.712,0.30391,0.92,291.7,1570.4,0.961,0.33466,0.96606,321.3,1649.1,0.88,0.26902,0.92727,258.3,1582.8,0.948,0.38762,0.96994,372.1,1655.7,0.68,0.35347,0.96714,339.3,1650.9,0.898
4,0.08,960,1707,0.41024,0.59429,393.8,1014.4,0.989,0.40784,0.585,391.5,998.6,0.977,0.40508,0.58417,388.9,997.2,0.973,0.40232,0.58336,386.2,995.8,0.98,0.40946,0.58427,393.1,997.4,0.988,0.40816,0.58329,391.8,995.7,0.992,0.40725,0.58224,391.0,993.9,0.994,0.38293,0.58139,367.6,992.4,0.983,0.39416,0.58103,378.4,991.8,0.986,0.40095,0.59847,384.9,1021.6,0.936,0.40375,0.59807,387.6,1020.9,0.955,0.29736,0.61254,285.5,1045.6,1.0,0.40574,0.60083,389.5,1025.6,1.0,0.31705,0.66682,304.4,1138.3,0.062,0.49249,0.64328,472.8,1098.1,0.984,0.34862,0.67581,334.7,1153.6,0.058,0.5838,0.65495,560.4,1118.0,0.966,0.35749,0.67106,343.2,1145.5,0.07,0.61143,0.65638,587.0,1120.4,0.954,0.37764,0.66803,362.5,1140.3,0.068,0.60719,0.64995,582.9,1109.5,0.951,0.38103,0.6681,365.8,1140.4,0.065,0.5977,0.64961,573.8,1108.9,0.909,0.32325,0.74485,310.3,1271.5,1.0,0.38153,0.74349,366.3,1269.1,1.0,0.36837,0.8396,353.6,1433.2,0.464,0.43558,0.83903,418.2,1432.2,0.96,0.34872,0.94755,334.8,1617.5,0.712,0.29666,0.92083,284.8,1571.9,0.964,0.33929,0.96901,325.7,1654.1,0.883,0.25834,0.92749,248.0,1583.2,0.951,0.38751,0.96964,372.0,1655.2,0.689,0.34788,0.96735,334.0,1651.3,0.905
5,0.1,960,1707,0.41132,0.59406,394.9,1014.1,0.99,0.40857,0.58426,392.2,997.3,0.979,0.4059,0.58338,389.7,995.8,0.975,0.4032,0.58257,387.1,994.4,0.982,0.41028,0.5836,393.9,996.2,0.989,0.40903,0.58264,392.7,994.6,0.993,0.40801,0.58164,391.7,992.9,0.995,0.38461,0.57995,369.2,990.0,0.984,0.39429,0.58016,378.5,990.3,0.987,0.40248,0.59832,386.4,1021.3,0.941,0.40523,0.59789,389.0,1020.6,0.959,0.2961,0.61261,284.3,1045.7,1.0,0.40672,0.60057,390.5,1025.2,1.0,0.37802,0.64823,362.9,1106.5,0.058,0.49098,0.64386,471.3,1099.1,0.985,0.46524,0.63408,446.6,1082.4,0.067,0.58263,0.65545,559.3,1118.8,0.965,0.4758,0.62098,456.8,1060.0,0.084,0.61028,0.65643,585.9,1120.5,0.955,0.47855,0.61951,459.4,1057.5,0.082,0.60661,0.64996,582.3,1109.5,0.952,0.47664,0.62412,457.6,1065.4,0.08,0.59661,0.64966,572.7,1109.0,0.911,0.32317,0.74432,310.2,1270.6,1.0,0.38286,0.74357,367.5,1269.3,1.0,0.36838,0.83901,353.6,1432.2,0.473,0.42626,0.84101,409.2,1435.6,0.964,0.35006,0.94953,336.1,1620.8,0.728,0.29133,0.92387,279.7,1577.0,0.967,0.33792,0.96993,324.4,1655.7,0.891,0.25209,0.93068,242.0,1588.7,0.954,0.38882,0.96913,373.3,1654.3,0.71,0.34131,0.96824,327.7,1652.8,0.914
6,0.119,960,1707,0.41256,0.59227,396.1,1011.0,0.991,0.40913,0.58261,392.8,994.5,0.981,0.40653,0.58187,390.3,993.2,0.978,0.40395,0.5813,387.8,992.3,0.983,0.41082,0.58212,394.4,993.7,0.99,0.40956,0.58136,393.2,992.4,0.994,0.40849,0.58057,392.1,991.0,0.995,0.38526,0.57936,369.8,989.0,0.986,0.3945,0.5798,378.7,989.7,0.988,0.4036,0.5976,387.5,1020.1,0.947,0.40621,0.59708,390.0,1019.2,0.963,0.29818,0.6125,286.3,1045.5,1.0,0.40726,0.6006,391.0,1025.2,1.0,0.39251,0.6416,376.8,1095.2,0.055,0.49071,0.64417,471.1,1099.6,0.985,0.47604,0.62285,457.0,1063.2,0.076,0.58238,0.65591,559.1,1119.6,0.963,0.49543,0.61579,475.6,1051.2,0.097,0.60982,0.65645,585.4,1120.6,0.953,0.4958,0.61392,476.0,1048.0,0.096,0.60625,0.65005,582.0,1109.6,0.95,0.49403,0.619,474.3,1056.6,0.093,0.59649,0.65009,572.6,1109.7,0.908,0.32387,0.74453,310.9,1270.9,1.0,0.38297,0.74481,367.7,1271.4,1.0,0.36954,0.84012,354.8,1434.1,0.47,0.41995,0.84381,403.2,1440.4,0.967,0.35078,0.95195,336.7,1625.0,0.735,0.28242,0.92454,271.1,1578.2,0.969,0.33716,0.9718,323.7,1658.9,0.896,0.24605,0.93119,236.2,1589.5,0.956,0.39714,0.96864,381.3,1653.5,0.724,0.32704,0.96948,314.0,1654.9,0.921
7,0.139,960,1707,0.41727,0.59434,400.6,1014.5,0.992,0.41282,0.58364,396.3,996.3,0.982,0.4104,0.58295,394.0,995.1,0.98,0.40797,0.58242,391.7,994.2,0.985,0.4141,0.583,397.5,995.2,0.991,0.41265,0.58219,396.1,993.8,0.994,0.41136,0.58136,394.9,992.4,0.996,0.38815,0.58002,372.6,990.1,0.987,0.39515,0.58014,379.3,990.3,0.989,0.40822,0.60039,391.9,1024.9,0.95,0.41033,0.59949,393.9,1023.3,0.965,0.29801,0.61514,286.1,1050.0,1.0,0.40762,0.60121,391.3,1026.3,1.0,0.32892,0.66346,315.8,1132.5,0.05,0.49055,0.64444,470.9,1100.1,0.984,0.36054,0.66237,346.1,1130.7,0.068,0.58225,0.65628,559.0,1120.3,0.952,0.36557,0.6618,350.9,1129.7,0.087,0.60967,0.65642,585.3,1120.5,0.939,0.37663,0.65819,361.6,1123.5,0.086,0.60609,0.65009,581.8,1109.7,0.935,0.38159,0.65645,366.3,1120.6,0.084,0.59643,0.65055,572.6,1110.5,0.883,0.32386,0.7457,310.9,1272.9,1.0,0.38303,0.74564,367.7,1272.8,1.0,0.3706,0.84038,355.8,1434.5,0.444,0.41379,0.84558,397.2,1443.4,0.968,0.35109,0.952,337.0,1625.1,0.724,0.27581,0.92498,264.8,1578.9,0.969,0.33714,0.97129,323.7,1658.0,0.894,0.23973,0.93131,230.1,1589.7,0.955,0.39737,0.9689,381.5,1653.9,0.714,0.31944,0.97223,306.7,1659.6,0.922
8,0.159,960,1707,0.41976,0.5955,403.0,1016.5,0.992,0.41615,0.58456,399.5,997.8,0.982,0.41407,0.58396,397.5,996.8,0.98,0.41195,0.58351,395.5,996.1,0.985,0.41684,0.58388,400.2,996.7,0.991,0.41528,0.58308,398.7,995.3,0.994,0.4139,0.58227,397.3,993.9,0.996,0.39173,0.58109,376.1,991.9,0.987,0.39675,0.58093,380.9,991.7,0.989,0.41072,0.60128,394.3,1026.4,0.948,0.4122,0.60053,395.7,1025.1,0.962,0.29863,0.61535,286.7,1050.4,1.0,0.40612,0.60126,389.9,1026.3,1.0,0.29821,0.6806,286.3,1161.8,0.045,0.48915,0.64432,469.6,1099.9,0.983,0.3239,0.74012,310.9,1263.4,0.062,0.58078,0.6562,557.5,1120.1,0.949,0.32618,0.74908,313.1,1278.7,0.079,0.60842,0.65606,584.1,1119.9,0.934,0.34229,0.7474,328.6,1275.8,0.078,0.60538,0.64994,581.2,1109.4,0.93,0.34638,0.74266,332.5,1267.7,0.076,0.59525,0.65052,571.4,1110.4,0.872,0.32749,0.74672,314.4,1274.7,1.0,0.38285,0.7462,367.5,1273.8,1.0,0.37059,0.84076,355.8,1435.2,0.42,0.40893,0.847,392.6,1445.8,0.969,0.35091,0.95129,336.9,1623.9,0.715,0.27161,0.92523,260.7,1579.4,0.97,0.33676,0.96963,323.3,1655.2,0.895,0.2355,0.93175,226.1,1590.5,0.954,0.39693,0.97033,381.1,1656.4,0.707,0.31903,0.97312,306.3,1661.1,0.923
9,0.179,960,1707,0.42007,0.59558,403.3,1016.6,0.992,0.41637,0.58497,399.7,998.5,0.984,0.41425,0.58438,397.7,997.5,0.981,0.41203,0.58393,395.6,996.8,0.986,0.4173,0.5844,400.6,997.6,0.991,0.41587,0.58368,399.2,996.3,0.994,0.41458,0.58293,398.0,995.1,0.996,0.3922,0.58187,376.5,993.3,0.988,0.3974,0.58175,381.5,993.0,0.99,0.4113,0.60142,394.8,1026.6,0.949,0.41289,0.60079,396.4,1025.6,0.963,0.29912,0.61516,287.2,1050.1,1.0,0.41155,0.6029,395.1,1029.2,1.0,0.3037,0.67875,291.6,1158.6,0.041,0.48952,0.64717,469.9,1104.7,0.983,0.33624,0.72851,322.8,1243.6,0.056,0.58058,0.65627,557.4,1120.3,0.946,0.33558,0.7339,322.2,1252.8,0.072,0.60827,0.65624,583.9,1120.2,0.93,0.34918,0.73071,335.2,1247.3,0.071,0.60528,0.64984,581.1,1109.3,0.925,0.35479,0.72747,340.6,1241.8,0.069,0.59517,0.65031,571.4,1110.1,0.863,0.3287,0.74679,315.6,1274.8,1.0,0.38296,0.7473,367.6,1275.6,1.0,0.36783,0.84197,353.1,1437.2,0.403,0.40349,0.84934,387.4,1449.8,0.971,0.35077,0.95137,336.7,1624.0,0.713,0.26522,0.92615,254.6,1580.9,0.971,0.33667,0.96957,323.2,1655.0,0.897,0.22547,0.93337,216.5,1593.3,0.955,0.3977,0.97036,381.8,1656.4,0.704,0.30756,0.97405,295.3,1662.7,0.925
