frame,time_s,nose_x,nose_y,nose_z,nose_vis,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_vis,left_eye_x,left_eye_y,left_eye_z,left_eye_vis,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_vis,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_vis,right_eye_x,right_eye_y,right_eye_z,right_eye_vis,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_vis,left_ear_x,left_ear_y,left_ear_z,left_ear_vis,right_ear_x,right_ear_y,right_ear_z,right_ear_vis,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_vis,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_vis,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_vis,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_vis,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_vis,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_vis,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_vis,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_vis,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_vis,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_vis,left_index_x,left_index_y,left_index_z,left_index_vis,right_index_x,right_index_y,right_index_z,right_index_vis,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_vis,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_vis,left_hip_x,left_hip_y,left_hip_z,left_hip_vis,right_hip_x,right_hip_y,right_hip_z,right_hip_vis,left_knee_x,left_knee_y,left_knee_z,left_knee_vis,right_knee_x,right_knee_y,right_knee_z,right_knee_vis,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_vis,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_vis,left_heel_x,left_heel_y,left_heel_z,left_heel_vis,right_heel_x,right_heel_y,right_heel_z,right_heel_vis,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_vis,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_vis
0,0.0,-0.1542,-0.5667,0.1652,0.996,-0.1536,-0.5822,0.127,0.994,-0.151,-0.58,0.1377,0.993,-0.1513,-0.5835,0.1337,0.994,-0.1281,-0.594,0.1359,0.996,-0.126,-0.5935,0.1219,0.996,-0.1188,-0.5815,0.1415,0.997,-0.1156,-0.5798,0.0311,0.995,-0.0225,-0.5386,0.1298,0.994,-0.1295,-0.5642,0.1526,0.987,-0.0994,-0.529,0.1534,0.985,-0.1416,-0.4722,-0.0062,1.0,0.1085,-0.531,0.2292,1.0,-0.2008,-0.3053,-0.1117,0.97,0.1926,-0.2752,0.2306,0.196,-0.3072,-0.1751,-0.0443,0.563,0.0601,-0.1361,0.289,0.009,-0.3435,-0.1704,-0.0251,0.522,0.0695,-0.1266,0.2922,0.009,-0.3419,-0.1723,-0.0174,0.506,0.0487,-0.1615,0.2863,0.008,-0.2981,-0.1615,-0.0337,0.363,0.0394,-0.1448,0.2859,0.008,-0.0787,0.0108,-0.0439,1.0,0.0808,-0.0141,0.0442,1.0,-0.0778,0.4225,-0.0482,0.976,0.1509,0.3013,0.1313,0.643,-0.0062,0.7564,-0.0687,0.981,0.2167,0.6889,0.2008,0.774,-0.021,0.795,-0.0603,0.972,0.2157,0.7243,0.1662,0.89,-0.1348,0.7687,-0.052,0.911,0.1522,0.6863,0.1978,0.549
1,0.028,-0.139,-0.5682,0.1661,0.994,-0.1404,-0.5835,0.1278,0.991,-0.1389,-0.5821,0.1391,0.991,-0.1379,-0.5848,0.1348,0.992,-0.1116,-0.596,0.1356,0.994,-0.1089,-0.5949,0.1216,0.995,-0.1023,-0.5832,0.1414,0.996,-0.1157,-0.5798,0.0333,0.993,-0.0193,-0.5375,0.1191,0.993,-0.121,-0.5644,0.1533,0.982,-0.0905,-0.5289,0.1529,0.981,-0.1465,-0.4722,-0.0002,1.0,0.1112,-0.5292,0.2109,1.0,-0.232,-0.3297,-0.0601,0.965,0.1933,-0.2721,0.1905,0.198,-0.3261,-0.2583,0.0771,0.521,0.0597,-0.1421,0.2442,0.009,-0.3618,-0.2717,0.1077,0.484,0.068,-0.1333,0.2451,0.009,-0.3515,-0.2862,0.1139,0.469,0.0488,-0.1683,0.2443,0.008,-0.313,-0.2511,0.0875,0.336,0.039,-0.1518,0.2415,0.008,-0.079,0.0108,-0.0399,1.0,0.0811,-0.0141,0.0401,1.0,-0.0783,0.4223,-0.0478,0.972,0.1513,0.299,0.1182,0.632,0.0042,0.7561,-0.0736,0.977,0.2164,0.6806,0.1766,0.763,-0.0112,0.7945,-0.0679,0.969,0.2154,0.7149,0.1431,0.889,-0.1239,0.7715,-0.0563,0.893,0.1525,0.68,0.1807,0.53
2,0.055,-0.136,-0.5725,0.1423,0.993,-0.1366,-0.5881,0.1043,0.99,-0.1356,-0.5875,0.117,0.99,-0.1343,-0.5892,0.1127,0.991,-0.1084,-0.6016,0.1081,0.993,-0.1059,-0.6,0.094,0.994,-0.0992,-0.5881,0.1149,0.996,-0.1156,-0.5822,0.0177,0.993,-0.0193,-0.5389,0.0876,0.992,-0.1191,-0.5668,0.1306,0.981,-0.0895,-0.5308,0.1253,0.979,-0.1482,-0.4719,-0.0122,1.0,0.1109,-0.5293,0.1934,1.0,-0.2315,-0.3262,-0.0658,0.963,0.1934,-0.2645,0.1676,0.199,-0.3296,-0.2387,0.074,0.497,0.0624,-0.1388,0.2065,0.009,-0.3679,-0.2437,0.104,0.46,0.0711,-0.1288,0.2045,0.009,-0.3583,-0.2514,0.1109,0.447,0.0552,-0.1637,0.2044,0.008,-0.3173,-0.2281,0.0851,0.319,0.0423,-0.1487,0.2028,0.008,-0.079,0.0108,-0.0399,1.0,0.0811,-0.0141,0.0402,1.0,-0.0784,0.4189,-0.0505,0.972,0.1476,0.297,0.1497,0.615,0.0166,0.7552,-0.0776,0.977,0.201,0.6784,0.2374,0.758,0.0011,0.7934,-0.0729,0.967,0.1981,0.7127,0.207,0.888,-0.1194,0.7706,-0.0634,0.89,0.1278,0.675,0.2507,0.52
3,0.083,-0.1338,-0.5759,0.1386,0.992,-0.1348,-0.5907,0.101,0.988,-0.1338,-0.5903,0.114,0.988,-0.1328,-0.5916,0.1097,0.989,-0.1064,-0.6056,0.1038,0.992,-0.1041,-0.6037,0.0897,0.993,-0.0974,-0.5918,0.1108,0.995,-0.1158,-0.5823,0.0162,0.992,-0.0202,-0.541,0.0803,0.992,-0.1178,-0.5686,0.1277,0.978,-0.0889,-0.5329,0.1204,0.977,-0.1491,-0.4696,-0.012,1.0,0.1084,-0.5326,0.1856,1.0,-0.2356,-0.3264,-0.0326,0.951,0.1908,-0.2643,0.1666,0.193,-0.334,-0.2917,0.1494,0.455,0.0623,-0.1389,0.2191,0.009,-0.375,-0.3136,0.1849,0.422,0.071,-0.1288,0.2192,0.009,-0.3638,-0.3361,0.1901,0.41,0.0563,-0.1637,0.2182,0.008,-0.3211,-0.29,0.1603,0.293,0.0423,-0.1487,0.2161,0.008,-0.0789,0.0118,-0.0392,1.0,0.0809,-0.0151,0.0395,1.0,-0.0817,0.4157,-0.0517,0.966,0.1285,0.292,0.1611,0.576,0.0263,0.7507,-0.0775,0.969,0.1688,0.6749,0.2486,0.728,0.0119,0.7878,-0.0728,0.958,0.1644,0.7096,0.2178,0.873,-0.1074,0.7701,-0.062,0.865,0.0891,0.6713,0.2648,0.49
4,0.11,-0.1347,-0.5755,0.1391,0.992,-0.1356,-0.5899,0.1019,0.988,-0.1344,-0.5898,0.1147,0.988,-0.1335,-0.5908,0.1105,0.989,-0.1074,-0.6052,0.1048,0.992,-0.1052,-0.6032,0.0909,0.993,-0.0985,-0.5909,0.1118,0.995,-0.1185,-0.5813,0.017,0.992,-0.0256,-0.5402,0.0823,0.992,-0.1181,-0.5678,0.1285,0.978,-0.0893,-0.532,0.1214,0.977,-0.1509,-0.4646,-0.0116,1.0,0.1071,-0.5326,0.1892,1.0,-0.2334,-0.2987,-0.0323,0.95,0.1979,-0.2642,0.1774,0.199,-0.3337,-0.2383,0.1425,0.434,0.0795,-0.1403,0.2751,0.01,-0.3762,-0.2535,0.1772,0.402,0.0919,-0.1301,0.2813,0.01,-0.3676,-0.2851,0.184,0.391,0.0782,-0.1644,0.2809,0.009,-0.3224,-0.2376,0.1542,0.279,0.0593,-0.1502,0.2725,0.009,-0.0784,0.0121,-0.0397,1.0,0.0804,-0.0155,0.0399,1.0,-0.0832,0.4145,-0.0564,0.968,0.1096,0.2831,0.1861,0.568,0.0251,0.7497,-0.0837,0.97,0.1386,0.6665,0.2959,0.732,0.0106,0.7871,-0.0793,0.958,0.1323,0.7021,0.2674,0.874,-0.1086,0.7734,-0.0653,0.868,0.051,0.6672,0.3207,0.49
5,0.138,-0.1356,-0.5715,0.1115,0.992,-0.1368,-0.5843,0.0747,0.988,-0.136,-0.5845,0.0878,0.988,-0.1353,-0.5848,0.0844,0.989,-0.1081,-0.6015,0.0779,0.992,-0.1062,-0.5992,0.0646,0.993,-0.099,-0.5866,0.0857,0.995,-0.1196,-0.5766,-0.0079,0.992,-0.0304,-0.5394,0.0563,0.992,-0.1186,-0.5642,0.1021,0.978,-0.0914,-0.5297,0.0954,0.977,-0.1511,-0.4603,-0.0201,1.0,0.104,-0.5354,0.1773,1.0,-0.2346,-0.2974,-0.0235,0.944,0.1873,-0.2643,0.1821,0.191,-0.337,-0.2527,0.1885,0.408,0.0771,-0.148,0.2758,0.01,-0.3823,-0.2743,0.225,0.379,0.0907,-0.1423,0.2808,0.01,-0.3723,-0.2979,0.232,0.369,0.0753,-0.177,0.2811,0.009,-0.3258,-0.2513,0.2011,0.263,0.0581,-0.1591,0.2734,0.009,-0.0757,0.0127,-0.0397,1.0,0.0775,-0.0161,0.0399,1.0,-0.0844,0.4101,-0.0561,0.969,0.0763,0.2715,0.208,0.548,0.0301,0.7429,-0.0572,0.971,0.0984,0.6567,0.3419,0.728,0.0157,0.78,-0.0499,0.956,0.0914,0.6923,0.316,0.869,-0.1064,0.7728,-0.0273,0.869,0.0073,0.6614,0.3732,0.486
6,0.166,-0.1365,-0.568,0.0881,0.992,-0.1387,-0.5793,0.0507,0.989,-0.138,-0.5787,0.0623,0.989,-0.1383,-0.5796,0.0605,0.99,-0.1094,-0.5966,0.058,0.993,-0.1082,-0.5946,0.0449,0.994,-0.1012,-0.5808,0.0655,0.995,-0.1179,-0.5684,-0.0358,0.993,-0.0334,-0.5374,0.0419,0.993,-0.1187,-0.5601,0.0781,0.98,-0.0927,-0.5277,0.0754,0.979,-0.1385,-0.4515,-0.0352,1.0,0.1041,-0.535,0.1684,1.0,-0.2184,-0.2941,-0.0336,0.932,0.1728,-0.2675,0.2053,0.178,-0.2987,-0.3114,0.1686,0.383,0.0538,-0.2106,0.347,0.01,-0.3394,-0.3511,0.2042,0.358,0.0639,-0.222,0.3557,0.01,-0.3253,-0.3703,0.2071,0.349,0.0587,-0.2595,0.3577,0.009,-0.2862,-0.3116,0.1791,0.249,0.036,-0.227,0.3479,0.009,-0.0727,0.0128,-0.0404,1.0,0.0744,-0.0164,0.0404,1.0,-0.095,0.4054,-0.0564,0.97,0.0553,0.2647,0.233,0.527,0.0297,0.7421,-0.0075,0.971,0.0634,0.6488,0.4021,0.725,0.0142,0.779,0.007,0.955,0.0533,0.6843,0.378,0.861,-0.1075,0.7728,0.0332,0.872,-0.0329,0.6467,0.4339,0.486
7,0.193,-0.1369,-0.5666,0.0999,0.993,-0.1389,-0.5779,0.0623,0.989,-0.1383,-0.5774,0.074,0.99,-0.1386,-0.5783,0.0715,0.991,-0.11,-0.5957,0.069,0.993,-0.1087,-0.5936,0.0557,0.994,-0.1017,-0.5801,0.0762,0.995,-0.1227,-0.5667,-0.0251,0.993,-0.0341,-0.5363,0.0481,0.993,-0.1191,-0.5583,0.0894,0.981,-0.0932,-0.5262,0.0859,0.98,-0.1442,-0.4443,-0.0324,1.0,0.1036,-0.5371,0.1702,1.0,-0.2177,-0.2547,-0.0343,0.934,0.1736,-0.2697,0.2049,0.173,-0.3006,-0.2291,0.168,0.38,0.0755,-0.1994,0.3274,0.01,-0.3424,-0.2583,0.2035,0.354,0.0926,-0.2069,0.333,0.011,-0.3302,-0.2887,0.2122,0.345,0.0907,-0.2475,0.3336,0.01,-0.287,-0.2305,0.1812,0.246,0.0604,-0.2145,0.3268,0.01,-0.0719,0.0128,-0.0393,1.0,0.0736,-0.0164,0.0392,1.0,-0.0947,0.4069,-0.0219,0.97,0.0552,0.2681,0.2066,0.514,0.0279,0.7507,0.0287,0.97,0.0337,0.6706,0.3533,0.717,0.0129,0.7891,0.0413,0.951,0.0211,0.7074,0.3227,0.853,-0.1081,0.7844,0.069,0.869,-0.0689,0.6708,0.3721,0.48
8,0.221,-0.1389,-0.5663,0.0871,0.993,-0.1413,-0.5776,0.0509,0.99,-0.1411,-0.5771,0.0631,0.99,-0.1414,-0.578,0.0606,0.991,-0.1119,-0.5957,0.0555,0.993,-0.1108,-0.5936,0.0419,0.995,-0.1031,-0.5801,0.0629,0.996,-0.1261,-0.5648,-0.0359,0.994,-0.0378,-0.5363,0.0316,0.993,-0.1209,-0.557,0.0762,0.983,-0.0955,-0.5259,0.0705,0.982,-0.148,-0.4342,-0.0435,1.0,0.1006,-0.5388,0.1596,1.0,-0.2214,-0.2308,-0.04,0.933,0.1712,-0.2725,0.1946,0.163,-0.3115,-0.2058,0.1508,0.378,0.0748,-0.1889,0.3223,0.01,-0.3586,-0.2353,0.1858,0.351,0.0907,-0.1907,0.3248,0.011,-0.346,-0.2686,0.1945,0.343,0.0862,-0.2286,0.3316,0.01,-0.2991,-0.2079,0.164,0.245,0.0589,-0.2021,0.3232,0.01,-0.0717,0.0137,-0.0392,1.0,0.0733,-0.0174,0.0392,1.0,-0.1037,0.399,-0.0203,0.968,0.0407,0.2491,0.2063,0.481,0.0125,0.7475,0.0407,0.967,0.0061,0.6392,0.3696,0.688,-0.003,0.7859,0.055,0.945,-0.0068,0.6737,0.3467,0.83,-0.1265,0.7839,0.0869,0.86,-0.0927,0.6362,0.4032,0.459
9,0.249,-0.1499,-0.535,0.0293,0.994,-0.1551,-0.5433,-0.0051,0.991,-0.1552,-0.543,0.0071,0.991,-0.1554,-0.5431,0.0057,0.992,-0.1267,-0.5638,-0.0017,0.994,-0.1263,-0.5615,-0.0155,0.995,-0.1176,-0.5476,0.0067,0.996,-0.1337,-0.5336,-0.089,0.995,-0.0569,-0.512,-0.0225,0.994,-0.128,-0.528,0.0181,0.984,-0.1056,-0.5011,0.0118,0.983,-0.1482,-0.4203,-0.0789,1.0,0.0966,-0.5343,0.1104,1.0,-0.2213,-0.2337,-0.0604,0.92,0.1703,-0.2722,0.1675,0.153,-0.3118,-0.2069,0.1396,0.357,0.0394,-0.2277,0.3075,0.009,-0.3604,-0.2374,0.1731,0.334,0.0381,-0.2501,0.3118,0.01,-0.351,-0.2699,0.1814,0.326,0.0292,-0.2974,0.3307,0.009,-0.3014,-0.2085,0.1523,0.233,0.0163,-0.2484,0.3099,0.009,-0.0668,0.0229,-0.0377,1.0,0.0676,-0.0275,0.0379,1.0,-0.1169,0.3868,-0.0145,0.965,-0.0043,0.0292,0.2154,0.441,-0.0042,0.729,0.0971,0.962,-0.0202,0.377,0.3824,0.641,-0.0179,0.766,0.1175,0.941,-0.0265,0.4063,0.3605,0.788,-0.1271,0.7831,0.1584,0.853,-0.0775,0.3868,0.4184,0.428
